prefix,n_train,n_calib,n_test,n_test_active,n_calib_neg,auroc_test,auprc_test,conformal_ran,fdr02_n_selected,fdr02_true_fdr,fdr02_n_actives,ks_distances
CHEMBL226_Ki_CHEMBL870845,1126,645,465,138,491,0.8114169215086646,0.6810343684573198,True,208,0.5240384615384616,99,"{'ks_neg': (0.7191292731533241, 0.08427237401447041), 'ks_nc': (0.699724931232813, 0.032289636168576774)}"
CHEMBL226_Ki_CHEMBL871362,1126,645,465,138,491,0.8209457962150424,0.6918432772835982,True,221,0.5520361990950227,99,"{'ks_neg': (0.7191292731533241, 0.08427336361891746), 'ks_nc': (0.699724931232813, 0.023655914139317197)}"
CHEMBL226_Ki_CHEMBL894342,1126,645,465,138,491,0.8220316447280946,0.7003175646228058,True,210,0.5142857142857142,102,"{'ks_neg': (0.7191292731533241, 0.08427446082946355), 'ks_nc': (0.699724931232813, 0.04185005331687652)}"
CHEMBL226_Ki_CHEMBL901018,1126,645,465,155,491,0.8170239334027055,0.7355367531323179,True,223,0.47533632286995514,117,"{'ks_neg': (0.7699318923417262, 0.1800213758525535), 'ks_nc': (0.7666416604151092, 0.08836390701317787)}"
CHEMBL226_Ki_CHEMBL904111,1126,645,465,138,491,0.8127022115853388,0.6897517331872733,True,186,0.46774193548387094,99,"{'ks_neg': (0.7191292731533241, 0.08427446082946355), 'ks_nc': (0.699724931232813, 0.023731149960690145)}"
CHEMBL226_Ki_CHEMBL917986,1126,645,465,138,491,0.7985861809156585,0.6560065375464235,True,216,0.5092592592592593,106,"{'ks_neg': (0.7191292731533241, 0.08427436051265602), 'ks_nc': (0.699724931232813, 0.023950750098534312)}"
CHEMBL226_Ki_CHEMBL918607,1126,645,465,138,491,0.8102424323006692,0.6779886667906234,True,222,0.5495495495495496,100,"{'ks_neg': (0.7191292731533241, 0.08427359788162103), 'ks_nc': (0.699724931232813, 0.02980997069303809)}"
CHEMBL226_Ki_CHEMBL918669,1130,645,461,177,491,0.8195870136070662,0.7460190604023083,True,271,0.44280442804428044,151,"{'ks_neg': (0.7634116924599355, 0.235086032178899), 'ks_nc': (0.7464426844238125, 0.13856892881242655)}"
CHEMBL226_Ki_CHEMBL922854,1125,645,466,179,491,0.8463784478227863,0.7796172188459791,True,257,0.4357976653696498,145,"{'ks_neg': (0.7728687184776682, 0.22802552774143614), 'ks_nc': (0.7552017832784432, 0.12533006426635734)}"
CHEMBL226_Ki_CHEMBL933587,1126,645,465,138,491,0.8087133803129015,0.6805949906487252,True,220,0.55,99,"{'ks_neg': (0.7191292731533241, 0.08428278344844842), 'ks_nc': (0.699724931232813, 0.04185013242156366)}"
