smiles,08db82d861b671e7327435adb0af8d8b,095fb41a59ca6f9f7711a6343b066366,331d40c28787edbe6b3f663d6d4fcc7e,3c201c7b515ba38b493832d7d6ce9bd5,3dfac2c1d8d2e18a74ac7d8213115b6e,4997c0827f806e38795e2047b1d6dcce,4fc12e0e6b740babc7d0d3a06a10f63e,527286e09ec6f78c04e2d61c922e3cae,5b0fe37d404cd3c110d464704646dcec,6429427b3300d67da1d1e9f5690cacf6,692032d52cbe34014e2d4d2e71dca8b4,6b5baf640e455e9194475f39d447d12a,6ca673946935809de97f788926b01dd0,788c6cb2a82846c831e896b3e00a6a3e,7f73c5dd89b7b6d8ca56c162eee39ae0,91f95caffaab390df3cc844739289623,950edee628a799c6d21b79616a3c2922,aa461b785a983250aad972831c85f6ee,aab458b586520ad6a82e21e396e745fa,c2deacd5a4c87aca95f217fbe1e8d15e,c6eb716f36a79621c8c73c735dd764f1,cec89ffbb36294b123484faf17ab3a30,ece75852ff9270ff156fcc9e21a79d7f
CC(C)CCC(c1ccc(Cl)cc1)C1CCCCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CCOC1C2CCN(CCc3ccc4ccccc4c3)CCCCCCOCc3cn(nn3)CC(O2)C2OC(C)(C)OC12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CN(C(=O)c1cc(Cl)cc(Cl)c1)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CN(C(=O)c1cc(Cl)ccc1Cl)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CN(C(=O)c1ccc(Cl)c(Cl)c1)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CN(C(=O)c1ccc(Cl)cc1Cl)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.52,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CN(C(=O)c1ccc(F)cc1Cl)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CN(C(=O)c1cccc(C(F)(F)F)c1Cl)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CN(C(=O)c1cccc(Cl)c1)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CN(C(=O)c1cccc(Cl)c1Cl)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22,0.0,0.0,0.0,0.0,0.0,0.0
