smiles,00a2afcaf74127670fee80a7ab6abfce,095fb41a59ca6f9f7711a6343b066366,3c201c7b515ba38b493832d7d6ce9bd5,7f73c5dd89b7b6d8ca56c162eee39ae0,80121ad0b332d2951073b235cff9295a,aab458b586520ad6a82e21e396e745fa,ad44e8c3c329d29118132e14ebb7d57f,c6eb716f36a79621c8c73c735dd764f1,d410a79829f7b5969e91eeb2e7aa14d8,ef3b4627f9961bac2d0298e9d8390ece
C#CCN(C)CCCCCOc1ccc(C=O)c(OC)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24
C#CCN(C)CCCCCOc1ccc2c(c1)CCC2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02
C#CCN(C)CCCCCOc1ccc2c(c1)CCCC2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33
C#CCN(C)CCCCCOc1ccc2c(c1)OCCC2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
C#CCN(C)CCCCCOc1cccc(OC)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
C#CCN(C)CCCCOc1ccc(C(C)=O)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25
C#CCN(C)CCCCOc1ccc(C(C)=O)cc1OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94
C#CCN(C)CCCCOc1ccc2c(c1)CCC2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44
C#CCN(C)CCCCOc1ccc2c(c1)CCCC2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14
C#CCN(C)CCCCOc1ccc2c(c1)OCCC2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23
C#CCN(C)CCCCOc1ccc2ccc(=O)oc2c1,0.0,0.0,0.0,7.57,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)CCCOc1ccc2c(c1)OCCC2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94
