smiles,00a2afcaf74127670fee80a7ab6abfce,14702975da99d0507d6e199c5b4ca495,1570720a59aa115089513ac45853c48a,266536e40f25e2ac5b376d0aa594f111,34dd7286e2d85c4df3e265bd85d09289,3dc315b3309f6789949b726a9a7c4167,3fddb2cd5a9ee9f0fa968437986be5e7,4f983c9c8fb34ba44974c6548afe3114,5b0fe37d404cd3c110d464704646dcec,7f73c5dd89b7b6d8ca56c162eee39ae0,80121ad0b332d2951073b235cff9295a,950edee628a799c6d21b79616a3c2922,96c7227468bec679eb245d68c59527d5,9a0ea9c5d064d5578aba12a00c1e51d1,9d13704853324c42c17502235cdb1b57,a2978db6472f2d430310a51b887fdcd4,a4cbe1a6a440ab4dfe63b9f257dced75,aab458b586520ad6a82e21e396e745fa,aedecfbcfa114d0e67614acf510f1c26,c0db50ee265eed4f605cce27bcb440ed,c6eb716f36a79621c8c73c735dd764f1,d2444ac42f0cfe1a07af40dd7506c4b5,d410a79829f7b5969e91eeb2e7aa14d8,d4cfb4064c5748b8ef6eece595fb46a6
CC(=O)N(C)c1ccc(S(=O)(=O)Nc2nc(C)c(C)o2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCC(C(=O)N2CCC3(C)c4cccc(O)c4CC2C3(C)C)C1,0.0,0.0,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCC(Nc2ncc(C(=O)NC3C4CC5CC3CC(O)(C5)C4)c(C3CCCC3)n2)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCC(Nc2ncc(C(=O)NC3C4CC5CC3CC(O)(C5)C4)c(C3CCCC3)n2)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCC(c2nnc3c(Oc4cccc(Cl)c4C)cccn23)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCCC(C(=O)N2CCC3(C)c4cccc(O)c4CC2C3(C)C)C1,0.0,0.0,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCCCC1C(=O)N1CCC2(C)c3cccc(O)c3CC1C2(C)C,0.0,0.0,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)N1CCN(c2ccc(N3CCN(C(=O)NC4C5CC6CC4CC(O)(C6)C5)c4ccccc43)nc2)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)NC(C)(C)CC1(c2ccccc2)CCN(C(C)c2ccc(-c3ccc(=O)n(C)c3)cc2)C(=O)O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)NC(Cc1ccc(C#N)cc1)C(=O)N1CCCC1C(=O)NC1C2CC3CC(C2)CC1C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)NC(Cc1ccc(F)cc1)C(=O)N1CCCC1C(=O)NC1C2CC3CC(C2)CC1C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)NC(Cc1ccc(OC(C)=O)cc1)C(=O)N1CCCC1C(=O)NC1C2CC3CC(C2)CC1C3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)NC12CC3CC(C1)C(OC(=O)N1CCC(NC(=O)OC(C)(C)C)C1)C(C3)C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,0.0,0.0,0.0,0.0,0.0,0.0
