smiles,03dc674b6bd50ce513dd1a0d1803709e,08db82d861b671e7327435adb0af8d8b,3c201c7b515ba38b493832d7d6ce9bd5,47449705b80311377304139ca7104191,5b0fe37d404cd3c110d464704646dcec,692032d52cbe34014e2d4d2e71dca8b4,6b5baf640e455e9194475f39d447d12a,6ca673946935809de97f788926b01dd0,7f73c5dd89b7b6d8ca56c162eee39ae0,8541b62eb999ae3da4d16a87a639efe4,9159a6fa0c074b259c84ab9ff88733e1,91f95caffaab390df3cc844739289623,950edee628a799c6d21b79616a3c2922,9a0ea9c5d064d5578aba12a00c1e51d1,c6eb716f36a79621c8c73c735dd764f1,d2bb6d3d58b1bcb29df748e0c133c4f1
CC(C)(C)CC(=O)N(Cc1ccc(Cl)cc1Cl)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0
CC(C)(C)NCC(O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CC(C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)c1ccc(C2CCC(CN)O2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63,0.0,0.0,0.0
CC(C)=CCCC1(C)C(CC=C(C)C)CC2(CC=C(C)C)C(=O)C(CC=C(C)C)=C(O)C1(C(=O)C(C)C)C2=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)C(=O)N(Cc1ccc(Cl)c(Cl)c1Cl)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0
CC(C)C(=O)N(Cc1ccc(Cl)cc1Cl)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55,0.0,0.0,0.0
CC(C)C(=O)N(Cc1ccc(F)cc1Cl)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01,0.0,0.0,0.0
CC(C)C(=O)N(Cc1ccccc1-c1ccccc1)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.85,0.0,0.0,0.0
CC(C)C(=O)N(Cc1ccccc1Cl)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,0.0,0.0,0.0
CC(C)C(C)C1(c2ccc3ccccc3c2)CCC(C)(O)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CC(=O)N(Cc1ccc(Cl)cc1Cl)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.51,0.0,0.0,0.0
CC(C)CC(=O)N(Cc1cccc(Cl)c1Cl)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21,0.0,0.0,0.0
CC(C)CC(C)(N)COc1ccc(-c2ccnc(C(F)F)c2)nc1C(F)F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,0.0,0.0,0.0,0.0
CC(C)CC(C)(N)COc1cnc(-c2ccnc(C(F)F)c2)cc1C(F)F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0
CC(C)CC(N)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05,0.0,0.0,0.0
CC(C)CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44,0.0,0.0,0.0
CC(C)CC1NC(=O)C(CCCCN)NC(=O)C(Cc2ccc(O)cc2)NC(=O)CNC(=O)C2CSSCC(NC1=O)C(=O)NC(Cc1cnc[nH]1)C(=O)N1CCC(O)C1C(=O)NC(C(=O)O)CSSCC(NC(=O)C(NC(=O)CNC(=O)C1CCC(=O)N1)C(C)C)C(=O)N2,0.0,0.0,0.0,0.0,0.0,6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CN(C(=O)c1ccc2ccccc2c1)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,0.0,0.0,0.0
CC(C)N(C(=O)C1(c2ccccc2)CC1CN)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)N(C(=O)c1ccc2ccccc2c1)C1CCNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12,0.0,0.0,0.0
CC(C)N(Cc1ccc(Cl)c(Cl)c1)CC1CNC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34,0.0,0.0,0.0
CC(C)NCC(O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)NCCCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)NCCc1cccc2[nH]cc(S(=O)(=O)c3ccccc3)c12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)OCC(=O)NCC1CNCCOC1c1ccc(Cl)c(F)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32,0.0,0.0
CC(C)c1nnsc1C[S+]([O-])C(c1ccccc1)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0
CC(CCc1ccc(-c2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(N(C)C)C1(c2ccc(Cl)c(Cl)c2)CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.15,0.0,0.0,0.0
CC(N(C)C)C1(c2ccc3ccccc3c2)CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.68,0.0,0.0,0.0
CC(N)C1(c2ccc(-c3ccccc3)cc2)CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0
CC(N)C1(c2ccc(OC(C)(C)C)cc2)CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0
CC(N)C1(c2ccc(OC(F)(F)F)cc2)CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0
CC(N)C1(c2ccc3ccccc3c2)CCCCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48,0.0,0.0,0.0
